"parcel_id","state","district","land_area","land_type","land_use","number_of_owners","ownership_complexity","previous_dispute","previous_objections","land_value","estimated_compensation","environmental_risk","road_accessibility","distance_to_road","project_type","stakeholder_count","land_use_conflict","documentation_completeness","historical_acquisition_duration","acquisition_risk","acquisition_duration"
"SYN-LA-00001","Bihar","Purnia","8.51","Agricultural","Multi-crop","1","1","0","1","5.32","6.18","2","4","11.18","Rail","17","1","7","5.79","1","7.44"
"SYN-LA-00002","Jharkhand","Dhanbad","16.66","","Mixed use","6","7","0","0","9.12","9.38","5","7","4.84","Water management","4","5","5","9.78","1","13.72"
"SYN-LA-00003","Uttar Pradesh","Dhanbad","12.09","Industrial","Mixed use","3","2","0","0","9.8","10.41","3","8","10.09","Public utility","7","5","6","12.49","1","14.88"
"SYN-LA-00004","Bihar","Ranchi","12.54","Forest buffer","Fallow","8","9","1","0","8.81","10.51","6","2","1.14","Rail","14","1","8","12.38","2","15.01"
"SYN-LA-00005","Bihar","Nalanda","7.79","Residential","Multi-crop","8","8","1","1","3.47","4.6","5","5","9.68","Rail","5","1","4","8.44","2","12.91"
"SYN-LA-00006","Bihar","Ranchi","19.7","Commercial","Mixed use","7","8","1","2","15.4","15.72","2","3","11.62","","15","3","3","12.55","3","18.96"
"SYN-LA-00007","Uttar Pradesh","Bhojpur","11.03","Commercial","Single-crop","8","10","0","0","7.97","9.78","0","7","8.45","Industrial corridor","2","2","8","14.1","1","14.19"
"SYN-LA-00008","Jharkhand","","14.69","Residential","Residential","6","8","0","0","8.26","9.33","1","10","2.96","","2","0","5","12.67","1","13.36"
"SYN-LA-00009","Jharkhand","Bhojpur","9.15","Forest buffer","Fallow","2","3","0","0","5.1","5.62","7","2","1.19","Public utility","14","4","9","8.55","1","10.33"
"SYN-LA-00010","","Begusarai","18.92","Forest buffer","Residential","5","7","1","2","4.16","5.39","7","6","4.56","Industrial corridor","3","2","","","2","16.1"
"SYN-LA-00011","Bihar","Muzaffarpur","20.54","Industrial","Commercial","7","8","1","1","14.14","18.23","5","9","1.47","Industrial corridor","9","5","5","10.68","2","17.12"
"SYN-LA-00012","Uttar Pradesh","Nalanda","16.86","Agricultural","Multi-crop","1","1","0","0","8.26","10.44","1","9","5.37","Rail","11","4","8","9.83","0","12.58"
"SYN-LA-00013","Jharkhand","Nalanda","","Industrial","Commercial","4","3","1","3","10.21","11.81","8","5","8.11","Industrial corridor","17","2","8","8.68","2","14.4"
"SYN-LA-00014","Uttar Pradesh","Dhanbad","16.08","Residential","Mixed use","2","3","1","3","3.17","4.41","5","7","5.54","Road","18","3","6","13.14","2","18.63"
"SYN-LA-00015","Jharkhand","Muzaffarpur","5.97","Commercial","Mixed use","6","6","1","3","3.42","4.09","6","4","3.88","Road","","4","7","10.23","2","15.23"
"SYN-LA-00016","Uttar Pradesh","Bhojpur","22.39","Forest buffer","Multi-crop","8","10","0","1","12.23","13.69","5","8","9.17","Water management","20","3","4","9.44","3","14.59"
"SYN-LA-00017","Uttar Pradesh","Vaishali","13.76","Industrial","Residential","2","3","1","3","9.55","11.74","4","6","2.42","","14","4","6","11.62","2","18.5"
"SYN-LA-00018","Jharkhand","Muzaffarpur","20.55","Residential","Multi-crop","5","5","0","0","5.72","6.48","5","4","5.71","Public utility","15","4","8","10.35","1","13.13"
"SYN-LA-00019","Jharkhand","Ranchi","18.54","Forest buffer","","4","5","0","0","5.82","6.23","7","8","1.65","Industrial corridor","14","2","6","11.62","1","12.16"
"SYN-LA-00020","Jharkhand","Saran","7.66","Residential","Residential","2","2","0","0","","","8","","10.65","Public utility","","3","5","8.28","1","9.86"
"SYN-LA-00021","Bihar","Saran","20.87","Industrial","Commercial","7","","1","0","16.78","17.5","1","6","0.42","Public utility","6","1","8","7.71","1","9.54"
"SYN-LA-00022","Bihar","Vaishali","19.05","Forest buffer","Single-crop","6","8","0","1","14.01","18.43","8","6","6.51","Public utility","4","5","5","9.91","2","13.41"
"SYN-LA-00023","Jharkhand","Bhagalpur","6.85","Industrial","Residential","8","8","0","0","1.96","2.51","6","9","11.5","","15","4","","8.8","2","12.43"
"SYN-LA-00024","Uttar Pradesh","Ranchi","8.3","Forest buffer","Single-crop","8","8","0","0","3.37","3.86","4","7","10.54","Water management","12","","3","14.02","2","15.76"
"SYN-LA-00025","Uttar Pradesh","Bhojpur","","Industrial","Residential","1","0","0","0","7.91","8.86","5","10","4.43","Rail","20","0","6","","0","9.14"
"SYN-LA-00026","Bihar","Purnia","6.57","Commercial","Multi-crop","2","1","1","0","4.38","4.97","","3","5.99","Rail","12","5","9","10.71","1","14.04"
"SYN-LA-00027","Uttar Pradesh","Begusarai","22.19","Commercial","Single-crop","1","0","0","0","18.8","19.97","7","3","1.13","Water management","15","3","8","7.3","1","9.93"
"","Jharkhand","Patna","8.34","Agricultural","Single-crop","5","6","1","3","2.67","3.12","4","5","8.64","Water management","17","2","5","12.61","3","18.11"
"SYN-LA-00029","","Ranchi","8.26","Residential","Fallow","4","5","1","2","","3.09","8","6","12.05","Water management","5","2","7","13.98","2","17.86"
"SYN-LA-00030","Uttar Pradesh","Bhagalpur","4.79","Industrial","Mixed use","","6","","0","3.06","3.51","8","5","9.33","Water management","10","3","9","6.81","1","9"
"SYN-LA-00031","Bihar","Dhanbad","16.52","Forest buffer","Residential","5","6","1","","13.31","14.84","3","2","6.73","Rail","19","2","9","6.93","2","10.31"
"SYN-LA-00032","Jharkhand","Bhojpur","21.02","Agricultural","Fallow","8","10","0","0","8.17","10.78","5","4","5.01","Rail","17","2","7","8.75","2","10.09"
"SYN-LA-00033","Jharkhand","","24.17","Residential","Multi-crop","8","10","0","1","5.78","7.47","4","6","4.74","Rail","9","5","7","8.82","2","11.56"
"SYN-LA-00034","Jharkhand","Dhanbad","24.38","Industrial","Fallow","","5","1","4","17.51","22.08","4","3","1.57","Industrial corridor","9","3","6","14.1","3","20.96"
"SYN-LA-00035","Jharkhand","Dhanbad","10.73","Industrial","","8","9","0","0","3.53","4.63","7","8","6.54","Water management","8","2","4","7.82","1","11.1"
"SYN-LA-00036","Jharkhand","Begusarai","6.47","Forest buffer","Multi-crop","6","6","0","0","4.64","6.02","4","7","6.76","Industrial corridor","13","2","4","10.84","1","13.33"
"SYN-LA-00037","Uttar Pradesh","Patna","4.87","Residential","Fallow","8","8","0","0","2.62","3.36","8","4","10.34","Water management","14","1","8","7.55","2","9.78"
"","Uttar Pradesh","Vaishali","6.53","Forest buffer","Commercial","1","2","0","0","2.26","2.81","2","2","3.51","Road","11","2","6","6.93","1","9.26"
"SYN-LA-00039","Bihar","Vaishali","13.67","Commercial","Residential","7","7","0","","9.67","","0","4","1.02","Road","18","3","4","10.57","1","12.21"
"SYN-LA-00040","Bihar","Saran","3.11","Commercial","Multi-crop","6","6","0","0","1.58","","0","10","7.2","Public utility","20","5","3","14.27","2","19.12"
"SYN-LA-00041","Bihar","Bhagalpur","23.53","Commercial","Residential","3","3","0","0","18.99","26.28","0","7","1.32","Public utility","19","1","7","5.34","0","7.07"
"SYN-LA-00042","Bihar","Gaya","2.52","Commercial","Mixed use","1","3","0","0","0.9","1.25","8","5","10.58","Water management","15","4","9","5.95","1","7.14"
"SYN-LA-00043","Uttar Pradesh","Bhojpur","21.84","Industrial","Fallow","3","4","0","","11.49","15.1","0","10","8.59","Road","15","0","9","11.2","0","10.56"
"SYN-LA-00044","Bihar","Saran","8.86","Residential","Mixed use","7","8","0","0","3.54","4.14","4","5","2.49","Road","16","2","5","10.5","1","11.61"
"SYN-LA-00045","Jharkhand","Dhanbad","12.8","Forest buffer","Fallow","8","10","0","1","3.68","4.49","5","4","5.35","Industrial corridor","9","2","6","12.27","2","13.65"
"SYN-LA-00046","Bihar","Saran","9.62","Commercial","Commercial","2","3","0","","6.34","7.54","6","5","1.76","Rail","10","3","8","6.55","1","7.5"
"SYN-LA-00047","Jharkhand","Patna","24.67","","Commercial","2","2","0","0","","19.18","3","9","1.17","Rail","11","3","5","11.2","0","12.39"
"SYN-LA-00048","Uttar Pradesh","Muzaffarpur","1.21","Commercial","Single-crop","8","7","1","0","0.8","0.97","6","9","6.54","Water management","9","4","7","15.07","2","19.71"
"SYN-LA-00049","Uttar Pradesh","Purnia","20.94","","Fallow","4","6","0","0","15.2","19.29","6","7","3.89","Rail","6","3","7","9.26","1","12.6"
"SYN-LA-00050","Bihar","Nalanda","24.62","Industrial","Fallow","5","7","0","1","12.12","16.32","2","5","4.45","Rail","9","3","6","14.65","1","16.43"
"SYN-LA-00051","Jharkhand","Purnia","18.61","Agricultural","Single-crop","4","5","","0","16.28","22.04","4","5","10.8","Industrial corridor","9","3","9","7.07","1","7.01"
"SYN-LA-00052","Jharkhand","Saran","","","Multi-crop","5","4","0","1","","2.13","6","5","3.31","Rail","17","2","9","8.18","1","9.88"
"SYN-LA-00053","Uttar Pradesh","Vaishali","21.11","Commercial","Commercial","2","2","1","1","9.81","","","7","1.57","Industrial corridor","9","5","8","6.22","1","9.42"
"SYN-LA-00054","Uttar Pradesh","Patna","","Industrial","Commercial","4","6","0","0","9.04","10.64","3","4","0.14","Rail","3","6","9","9.36","1","11.8"
"SYN-LA-00055","Uttar Pradesh","Bhojpur","15.51","Commercial","Fallow","","7","0","1","4.85","5.42","8","3","5.4","Road","13","3","","8.4","2","12.52"
"SYN-LA-00056","Jharkhand","Bhojpur","","Commercial","Mixed use","2","3","0","0","4.76","6.24","2","9","7.14","Public utility","9","5","6","5.25","1","7.75"
