"record_id","state","district","project_type","land_area_ha","number_of_owners","ownership_complexity","previous_dispute","previous_objections","land_type","land_value_cr","environmental_risk","road_accessibility","distance_to_road_km","stakeholder_count","compensation_exposure_cr","land_use_conflict","documentation_completeness","acquisition_risk","risk_score","source_label"
"SYN-0001","Bihar","Bhojpur","Rail","5.28","1","0","0","0","Agricultural","2.05","2","4","7.40","12","2.28","1","8","0","29","synthetic_demo"
"SYN-0002","Bihar","Bhojpur","Water management","5.69","1","3","1","0","Forest buffer","2.86","3","7","4.80","3","2.98","5","7","1","56","synthetic_demo"
"SYN-0003","Bihar","Nalanda","Water management","4.25","3","5","0","1","Industrial","1.78","8","10","1.53","14","1.94","3","8","2","69","synthetic_demo"
"SYN-0004","Bihar","Saran","Public utility","1.49","7","8","0","0","Industrial","0.85","6","9","2.72","5","1.04","5","4","3","86","synthetic_demo"
"SYN-0005","Bihar","Saran","Industrial corridor","9.18","3","3","1","3","Commercial","3.21","3","7","3.84","6","4.04","5","5","0","30","synthetic_demo"
"SYN-0006","Bihar","Nalanda","Rail","6.37","6","8","0","1","Agricultural","3.79","8","5","2.78","10","3.67","0","7","1","60","synthetic_demo"
"SYN-0007","Bihar","Nalanda","Rail","12.54","2","3","0","1","Residential","5.87","6","5","5.93","11","6.63","4","7","2","78","synthetic_demo"
"SYN-0008","Bihar","Bhagalpur","Road","1.46","1","3","0","0","Commercial","0.70","5","8","3.76","4","0.82","4","10","3","81","synthetic_demo"
"SYN-0009","Bihar","Saran","Water management","8.10","3","3","0","0","Industrial","3.41","3","8","6.22","5","3.54","2","9","0","28","synthetic_demo"
"SYN-0010","Bihar","Vaishali","Rail","6.79","4","4","0","0","Agricultural","2.14","1","5","5.07","4","2.71","2","9","1","43","synthetic_demo"
"SYN-0011","Bihar","Muzaffarpur","Public utility","1.42","6","7","1","1","Agricultural","0.39","6","6","3.81","11","0.52","4","6","2","80","synthetic_demo"
"SYN-0012","Bihar","Saran","Industrial corridor","5.38","5","5","0","0","Forest buffer","3.20","8","4","1.83","7","3.34","5","6","3","85","synthetic_demo"
"SYN-0013","Bihar","Bhagalpur","Water management","10.54","7","7","0","0","Commercial","5.98","2","8","4.47","10","5.77","4","6","0","30","synthetic_demo"
"SYN-0014","Bihar","Muzaffarpur","Road","12.57","3","2","0","1","Forest buffer","7.26","4","7","3.03","12","8.31","6","7","1","60","synthetic_demo"
"SYN-0015","Bihar","Muzaffarpur","Water management","2.71","5","5","0","1","Agricultural","1.41","3","10","6.74","13","1.45","3","4","2","73","synthetic_demo"
"SYN-0016","Bihar","Nalanda","Rail","13.80","3","5","0","1","Commercial","3.99","5","9","6.74","4","4.52","5","6","3","81","synthetic_demo"
"SYN-0017","Bihar","Vaishali","Road","10.51","7","9","0","0","Commercial","2.91","8","5","0.40","9","3.67","2","5","0","30","synthetic_demo"
"SYN-0018","Bihar","Patna","Rail","9.50","7","8","0","0","Residential","5.88","6","7","0.71","5","6.42","1","8","1","57","synthetic_demo"
"SYN-0019","Bihar","Vaishali","Public utility","8.38","4","4","0","0","Agricultural","2.33","6","10","3.77","13","2.83","0","8","2","62","synthetic_demo"
"SYN-0020","Bihar","Bhojpur","Public utility","12.17","7","9","1","2","Commercial","6.74","6","5","3.96","5","6.78","5","5","3","100","synthetic_demo"
"SYN-0021","Bihar","Bhagalpur","Road","4.18","1","1","0","1","Agricultural","1.87","4","8","4.40","13","2.26","8","5","0","30","synthetic_demo"
"SYN-0022","Bihar","Nalanda","Water management","10.01","3","2","1","3","Commercial","2.55","5","5","3.38","14","3.11","5","8","1","60","synthetic_demo"
"SYN-0023","Bihar","Vaishali","Water management","9.94","2","2","0","0","Industrial","2.61","2","8","5.14","14","3.36","4","5","2","68","synthetic_demo"
"SYN-0024","Bihar","Gaya","Water management","4.88","5","7","0","0","Industrial","1.43","6","8","7.70","8","1.32","4","5","3","88","synthetic_demo"
"SYN-0025","Bihar","Bhojpur","Water management","7.25","5","5","0","0","Industrial","2.85","5","7","5.13","7","3.41","5","7","0","30","synthetic_demo"
"SYN-0026","Bihar","Bhojpur","Road","4.36","5","5","0","1","Commercial","1.80","2","4","6.38","7","2.22","3","6","1","60","synthetic_demo"
"SYN-0027","Bihar","Saran","Road","13.06","6","9","0","1","Forest buffer","5.75","8","4","4.43","4","6.25","2","8","2","79","synthetic_demo"
"SYN-0028","Bihar","Bhojpur","Water management","5.28","3","4","1","0","Residential","2.79","0","3","5.20","10","2.83","5","8","3","86","synthetic_demo"
"SYN-0029","Bihar","Saran","Industrial corridor","9.25","3","4","0","0","Industrial","3.17","3","6","6.18","8","3.44","0","5","0","30","synthetic_demo"
"SYN-0030","Bihar","Saran","Industrial corridor","8.68","5","5","0","1","Forest buffer","3.93","2","1","7.97","10","4.71","1","4","1","60","synthetic_demo"
"SYN-0031","Bihar","Muzaffarpur","Industrial corridor","1.85","4","5","0","1","Agricultural","1.01","1","9","7.65","6","1.34","1","10","2","61","synthetic_demo"
"SYN-0032","Bihar","Bhagalpur","Public utility","7.30","3","5","1","2","Agricultural","4.10","1","7","2.97","13","5.21","1","7","3","83","synthetic_demo"
"SYN-0033","Bihar","Muzaffarpur","Road","5.29","1","2","0","1","Agricultural","2.75","3","6","4.58","8","3.37","1","9","0","29","synthetic_demo"
"SYN-0034","Bihar","Patna","Industrial corridor","5.00","3","3","0","1","Residential","1.98","8","8","7.01","2","2.66","2","9","1","50","synthetic_demo"
"SYN-0035","Bihar","Nalanda","Road","6.21","2","3","0","1","Industrial","3.29","7","4","4.21","4","3.77","5","10","2","68","synthetic_demo"
"SYN-0036","Bihar","Gaya","Industrial corridor","2.67","1","3","0","1","Commercial","1.50","7","5","3.25","5","1.44","4","9","3","82","synthetic_demo"
"SYN-0037","Bihar","Muzaffarpur","Public utility","3.13","2","1","1","1","Residential","1.68","4","5","4.99","3","1.80","3","9","0","30","synthetic_demo"
"SYN-0038","Bihar","Saran","Rail","3.67","5","7","0","1","Agricultural","1.22","6","10","1.18","13","1.16","4","4","1","60","synthetic_demo"
"SYN-0039","Bihar","Muzaffarpur","Public utility","3.70","7","8","0","0","Agricultural","2.04","0","9","4.75","3","2.03","3","6","2","68","synthetic_demo"
"SYN-0040","Bihar","Vaishali","Road","5.36","2","4","0","0","Commercial","2.91","2","9","4.40","9","3.05","2","8","3","81","synthetic_demo"
"SYN-0041","Bihar","Gaya","Road","5.39","3","4","0","0","Industrial","3.08","8","8","7.02","11","4.13","1","7","0","30","synthetic_demo"
"SYN-0042","Bihar","Muzaffarpur","Industrial corridor","10.58","3","4","0","0","Forest buffer","3.16","7","8","1.21","10","3.21","2","6","1","57","synthetic_demo"
"SYN-0043","Bihar","Bhagalpur","Industrial corridor","1.37","3","4","0","0","Forest buffer","0.76","2","7","5.29","8","1.00","4","7","2","64","synthetic_demo"
"SYN-0044","Bihar","Vaishali","Rail","6.40","1","0","0","0","Residential","3.82","4","5","1.77","9","4.96","3","9","3","81","synthetic_demo"
"SYN-0045","Bihar","Vaishali","Industrial corridor","5.39","5","5","0","0","Agricultural","3.28","3","5","4.75","6","3.91","0","7","0","30","synthetic_demo"
"SYN-0046","Bihar","Bhojpur","Rail","1.60","1","2","1","4","Industrial","0.44","6","6","6.67","11","0.54","1","10","1","60","synthetic_demo"
"SYN-0047","Bihar","Nalanda","Public utility","3.15","3","2","0","1","Agricultural","1.57","1","6","2.61","4","1.48","3","8","2","61","synthetic_demo"
"SYN-0048","Bihar","Saran","Industrial corridor","12.69","4","3","0","0","Forest buffer","6.01","5","1","4.68","7","7.48","4","5","3","88","synthetic_demo"
"SYN-0049","Bihar","Vaishali","Water management","9.35","1","3","1","4","Industrial","3.51","1","9","6.26","14","3.73","1","7","0","30","synthetic_demo"
"SYN-0050","Bihar","Muzaffarpur","Rail","6.58","4","4","1","4","Commercial","1.97","7","5","5.61","4","2.33","1","10","1","60","synthetic_demo"
"SYN-0051","Bihar","Bhagalpur","Industrial corridor","3.70","3","3","0","0","Industrial","1.91","5","5","6.24","12","2.32","1","10","2","64","synthetic_demo"
"SYN-0052","Bihar","Bhojpur","Rail","3.44","6","8","0","0","Forest buffer","1.40","5","1","7.01","9","1.42","2","6","3","95","synthetic_demo"
"SYN-0053","Bihar","Bhojpur","Rail","8.23","7","7","1","3","Agricultural","2.41","8","4","2.95","11","2.35","3","8","0","30","synthetic_demo"
"SYN-0054","Bihar","Vaishali","Road","8.60","3","3","0","0","Forest buffer","2.83","9","6","5.91","7","3.23","1","9","1","54","synthetic_demo"
"SYN-0055","Bihar","Bhagalpur","Public utility","8.66","2","2","1","1","Residential","2.46","2","3","7.95","10","2.99","0","8","2","70","synthetic_demo"
"SYN-0056","Bihar","Gaya","Rail","9.00","3","4","0","0","Forest buffer","5.09","2","2","5.18","2","6.36","3","6","3","81","synthetic_demo"
"SYN-0057","Bihar","Vaishali","Public utility","1.56","5","5","1","2","Forest buffer","0.82","8","6","5.58","13","0.88","1","8","0","30","synthetic_demo"
"SYN-0058","Bihar","Nalanda","Water management","3.97","1","0","1","2","Residential","2.32","1","6","4.69","11","2.96","4","7","1","60","synthetic_demo"
"SYN-0059","Bihar","Bhojpur","Rail","4.40","7","7","1","1","Forest buffer","2.26","9","1","2.54","7","2.95","0","6","2","80","synthetic_demo"
"SYN-0060","Bihar","Patna","Water management","4.87","2","1","1","4","Agricultural","1.26","2","6","0.95","9","1.53","0","9","3","81","synthetic_demo"
"SYN-0061","Bihar","Saran","Public utility","9.26","5","6","0","1","Industrial","3.10","7","4","6.81","6","3.27","2","5","0","30","synthetic_demo"
"SYN-0062","Bihar","Muzaffarpur","Rail","5.49","1","3","0","0","Industrial","2.88","6","5","5.02","10","2.83","1","6","1","57","synthetic_demo"
"SYN-0063","Bihar","Muzaffarpur","Water management","5.51","5","7","1","1","Commercial","1.83","3","5","5.13","2","2.18","5","4","2","80","synthetic_demo"
"SYN-0064","Bihar","Vaishali","Rail","4.94","6","6","0","0","Residential","2.84","6","9","4.72","8","3.20","2","5","3","82","synthetic_demo"
"SYN-0065","Bihar","Saran","Road","7.44","3","4","0","1","Commercial","2.15","1","8","2.60","8","2.12","1","9","0","30","synthetic_demo"
"SYN-0066","Bihar","Muzaffarpur","Water management","1.65","5","5","1","3","Industrial","0.89","2","3","1.94","6","0.93","3","8","1","60","synthetic_demo"
"SYN-0067","Bihar","Vaishali","Public utility","13.43","2","2","0","0","Industrial","6.62","4","9","2.66","11","7.57","2","7","2","62","synthetic_demo"
"SYN-0068","Bihar","Bhojpur","Road","8.30","6","8","0","0","Agricultural","4.03","5","8","0.33","3","3.86","1","4","3","81","synthetic_demo"
"SYN-0069","Bihar","Saran","Water management","5.88","6","6","0","0","Forest buffer","2.26","8","1","2.52","14","2.20","1","7","0","30","synthetic_demo"
"SYN-0070","Bihar","Vaishali","Rail","12.64","2","2","0","0","Commercial","5.29","6","6","7.92","3","5.27","1","7","1","49","synthetic_demo"
"SYN-0071","Bihar","Gaya","Road","1.41","5","7","1","2","Commercial","0.85","4","10","3.43","12","1.03","3","8","2","76","synthetic_demo"
"SYN-0072","Bihar","Patna","Water management","4.46","5","5","0","1","Residential","2.07","6","4","3.95","7","2.73","2","7","3","86","synthetic_demo"
"SYN-0073","Bihar","Saran","Water management","11.00","2","2","1","0","Residential","3.13","2","4","5.36","8","3.09","3","8","0","30","synthetic_demo"
"SYN-0074","Bihar","Gaya","Water management","12.82","5","5","0","0","Residential","6.77","3","6","0.86","11","7.79","0","8","1","47","synthetic_demo"
"SYN-0075","Bihar","Vaishali","Water management","2.81","3","5","1","3","Industrial","1.04","3","8","5.13","3","1.03","1","7","2","74","synthetic_demo"
"SYN-0076","Bihar","Nalanda","Public utility","11.42","6","7","0","0","Industrial","3.37","6","5","6.42","8","4.21","2","4","3","92","synthetic_demo"
"SYN-0077","Bihar","Bhojpur","Water management","2.53","6","8","0","0","Industrial","1.51","5","10","2.56","7","1.85","1","4","0","30","synthetic_demo"
"SYN-0078","Bihar","Bhagalpur","Rail","13.90","4","3","1","1","Forest buffer","7.16","5","7","5.13","9","7.86","1","7","1","60","synthetic_demo"
"SYN-0079","Bihar","Bhagalpur","Rail","8.07","3","3","0","0","Agricultural","2.84","6","5","6.36","7","3.51","1","5","2","67","synthetic_demo"
"SYN-0080","Bihar","Nalanda","Road","5.63","2","4","0","1","Residential","1.90","0","5","1.94","2","2.04","6","10","3","81","synthetic_demo"
"SYN-0081","Bihar","Gaya","Industrial corridor","13.29","2","4","0","1","Commercial","5.43","6","5","1.62","9","7.23","2","8","0","30","synthetic_demo"
"SYN-0082","Bihar","Bhagalpur","Water management","1.80","5","5","0","0","Commercial","0.62","5","4","1.55","7","0.70","4","7","1","57","synthetic_demo"
"SYN-0083","Bihar","Bhagalpur","Water management","3.35","7","8","0","1","Residential","1.69","7","4","6.86","10","2.24","1","6","2","80","synthetic_demo"
"SYN-0084","Bihar","Patna","Industrial corridor","12.87","7","7","0","1","Industrial","3.85","1","10","1.59","2","5.09","0","6","3","81","synthetic_demo"
"SYN-0085","Bihar","Vaishali","Industrial corridor","5.05","6","7","0","0","Residential","1.34","8","9","7.14","12","1.40","1","4","0","30","synthetic_demo"
"SYN-0086","Bihar","Bhojpur","Road","8.65","3","3","0","0","Industrial","2.95","0","9","1.58","6","3.00","3","10","1","39","synthetic_demo"
"SYN-0087","Bihar","Patna","Road","9.99","6","8","1","0","Industrial","4.32","1","5","4.35","13","4.98","3","4","2","80","synthetic_demo"
"SYN-0088","Bihar","Saran","Road","1.42","1","0","0","1","Forest buffer","0.52","6","4","0.58","3","0.59","5","6","3","81","synthetic_demo"
"SYN-0089","Bihar","Vaishali","Road","13.95","1","3","0","0","Industrial","4.26","5","6","6.15","9","4.09","3","9","0","30","synthetic_demo"
"SYN-0090","Bihar","Nalanda","Water management","12.83","5","6","0","1","Agricultural","7.94","8","6","5.09","14","10.04","4","4","1","60","synthetic_demo"
"SYN-0091","Bihar","Gaya","Rail","9.48","5","6","0","0","Forest buffer","3.31","8","6","3.59","2","3.35","1","6","2","73","synthetic_demo"
"SYN-0092","Bihar","Gaya","Water management","12.97","7","10","1","1","Industrial","7.65","4","10","0.53","9","10.19","4","4","3","95","synthetic_demo"
"SYN-0093","Bihar","Patna","Rail","2.30","6","8","1","2","Commercial","1.20","6","10","4.73","14","1.58","1","8","0","30","synthetic_demo"
"SYN-0094","Bihar","Bhojpur","Road","12.58","6","6","0","0","Residential","7.58","1","9","5.34","7","9.80","5","6","1","54","synthetic_demo"
"SYN-0095","Bihar","Muzaffarpur","Rail","10.12","2","4","0","1","Residential","4.88","2","4","6.39","10","5.65","1","6","2","67","synthetic_demo"
"SYN-0096","Bihar","Bhagalpur","Rail","6.14","2","2","0","0","Commercial","2.26","7","7","1.14","10","3.01","4","9","3","81","synthetic_demo"
"SYN-0097","Bihar","Saran","Industrial corridor","5.64","1","0","0","1","Industrial","3.34","1","8","6.59","13","4.35","3","6","0","30","synthetic_demo"
"SYN-0098","Bihar","Gaya","Road","4.45","2","2","0","1","Residential","2.39","4","7","2.32","9","2.34","2","7","1","48","synthetic_demo"
"SYN-0099","Bihar","Patna","Water management","12.03","4","6","0","0","Forest buffer","4.83","4","2","6.02","6","5.39","2","7","2","72","synthetic_demo"
"SYN-0100","Bihar","Bhojpur","Industrial corridor","1.78","5","5","0","0","Agricultural","0.54","3","7","7.82","5","0.66","2","6","3","81","synthetic_demo"
"SYN-0101","Bihar","Nalanda","Rail","11.74","6","6","0","0","Forest buffer","4.53","3","8","3.75","10","4.93","2","6","0","30","synthetic_demo"
"SYN-0102","Bihar","Vaishali","Rail","7.29","5","6","0","0","Industrial","3.76","1","4","0.88","2","4.69","5","6","1","56","synthetic_demo"
"SYN-0103","Bihar","Bhojpur","Rail","11.39","5","5","0","1","Agricultural","5.76","6","6","1.59","10","7.10","3","5","2","74","synthetic_demo"
"SYN-0104","Bihar","Saran","Rail","4.97","1","1","0","0","Agricultural","2.20","1","5","0.90","9","2.42","2","5","3","81","synthetic_demo"
"SYN-0105","Bihar","Gaya","Public utility","6.84","1","2","1","2","Agricultural","2.67","5","7","2.97","13","2.72","5","8","0","30","synthetic_demo"
"SYN-0106","Bihar","Nalanda","Water management","3.91","2","4","0","0","Forest buffer","1.39","7","6","1.66","2","1.59","0","9","1","43","synthetic_demo"
"SYN-0107","Bihar","Muzaffarpur","Rail","5.46","2","4","1","1","Commercial","2.61","1","3","1.26","12","2.47","3","9","2","72","synthetic_demo"
"SYN-0108","Bihar","Saran","Road","11.05","1","3","1","0","Agricultural","5.56","3","7","6.71","8","6.99","3","7","3","84","synthetic_demo"
"SYN-0109","Bihar","Gaya","Industrial corridor","9.86","6","8","1","1","Forest buffer","5.82","6","3","1.81","14","7.65","3","4","0","30","synthetic_demo"
"SYN-0110","Bihar","Vaishali","Water management","5.08","1","3","0","1","Industrial","1.73","7","5","8.00","12","2.21","2","7","1","60","synthetic_demo"
"SYN-0111","Bihar","Saran","Public utility","11.18","5","6","0","0","Industrial","2.84","7","5","6.40","13","3.02","4","7","2","79","synthetic_demo"
"SYN-0112","Bihar","Muzaffarpur","Road","6.03","4","6","0","1","Agricultural","3.41","2","7","5.30","14","3.20","1","8","3","81","synthetic_demo"
"SYN-0113","Bihar","Saran","Water management","5.03","3","3","0","0","Commercial","2.00","1","10","0.39","3","2.19","1","5","0","28","synthetic_demo"
"SYN-0114","Bihar","Muzaffarpur","Rail","5.58","3","3","0","0","Residential","3.29","5","7","2.25","5","3.88","5","8","1","53","synthetic_demo"
"SYN-0115","Bihar","Muzaffarpur","Rail","7.83","2","4","1","0","Industrial","4.43","7","6","7.94","13","4.35","1","8","2","76","synthetic_demo"
"SYN-0116","Bihar","Nalanda","Road","12.65","4","4","1","3","Agricultural","5.34","2","3","2.52","13","7.20","4","8","3","97","synthetic_demo"
"SYN-0117","Bihar","Muzaffarpur","Road","3.34","2","2","0","0","Agricultural","1.17","8","5","1.86","8","1.10","4","8","0","30","synthetic_demo"
"SYN-0118","Bihar","Vaishali","Water management","11.39","2","3","0","0","Commercial","6.34","3","3","0.44","14","8.07","4","7","1","53","synthetic_demo"
"SYN-0119","Bihar","Nalanda","Industrial corridor","8.44","7","7","0","0","Residential","3.75","7","4","2.74","3","4.69","3","5","2","78","synthetic_demo"
"SYN-0120","Bihar","Vaishali","Public utility","2.76","3","3","0","1","Commercial","1.39","1","9","1.14","5","1.74","4","7","3","81","synthetic_demo"
"SYN-0121","Bihar","Bhojpur","Road","2.32","7","9","1","0","Agricultural","0.96","7","5","1.71","8","1.26","2","6","0","30","synthetic_demo"
"SYN-0122","Bihar","Vaishali","Public utility","10.15","6","7","0","0","Agricultural","4.77","3","9","6.17","8","4.45","3","6","1","56","synthetic_demo"
"SYN-0123","Bihar","Nalanda","Industrial corridor","4.02","1","1","0","0","Industrial","2.31","5","9","6.48","10","2.47","1","9","2","61","synthetic_demo"
"SYN-0124","Bihar","Saran","Road","8.98","7","7","0","0","Commercial","3.11","8","3","3.64","9","3.52","3","4","3","92","synthetic_demo"
"SYN-0125","Bihar","Saran","Industrial corridor","10.69","6","7","1","2","Residential","4.77","3","3","4.83","14","5.30","4","7","0","30","synthetic_demo"
"SYN-0126","Bihar","Patna","Water management","12.75","1","1","1","4","Forest buffer","4.17","9","8","3.88","14","4.89","5","10","1","60","synthetic_demo"
"SYN-0127","Bihar","Bhagalpur","Water management","10.97","7","7","1","4","Residential","3.23","6","9","0.86","2","3.51","4","8","2","80","synthetic_demo"
"SYN-0128","Bihar","Bhojpur","Rail","13.10","2","3","0","0","Forest buffer","6.40","3","3","7.77","10","7.55","1","9","3","81","synthetic_demo"
"SYN-0129","Bihar","Vaishali","Rail","9.80","7","8","0","0","Forest buffer","5.59","7","2","0.21","14","5.86","2","8","0","30","synthetic_demo"
"SYN-0130","Bihar","Gaya","Road","12.61","7","7","0","0","Residential","5.80","8","5","7.25","13","7.12","3","5","1","60","synthetic_demo"
"SYN-0131","Bihar","Vaishali","Public utility","4.12","5","6","1","4","Commercial","1.82","3","6","2.00","13","2.19","1","4","2","80","synthetic_demo"
"SYN-0132","Bihar","Patna","Road","8.13","4","4","0","0","Residential","3.51","4","8","2.49","10","3.50","3","7","3","81","synthetic_demo"
"SYN-0133","Bihar","Nalanda","Water management","5.43","1","1","0","0","Commercial","2.10","4","4","2.34","2","2.55","2","10","0","27","synthetic_demo"
"SYN-0134","Bihar","Patna","Industrial corridor","3.22","2","2","1","2","Industrial","1.23","1","9","6.70","9","1.35","0","9","1","49","synthetic_demo"
"SYN-0135","Bihar","Bhagalpur","Public utility","4.15","4","6","1","1","Commercial","2.44","8","6","0.85","12","2.55","5","10","2","80","synthetic_demo"
"SYN-0136","Bihar","Nalanda","Rail","3.49","6","7","0","0","Commercial","1.41","6","4","3.48","7","1.85","1","5","3","86","synthetic_demo"
"SYN-0137","Bihar","Patna","Rail","3.62","3","3","0","1","Forest buffer","1.19","8","4","3.50","8","1.55","1","9","0","30","synthetic_demo"
"SYN-0138","Bihar","Bhojpur","Water management","3.06","7","9","0","0","Forest buffer","1.03","9","2","3.18","6","1.02","1","7","1","60","synthetic_demo"
"SYN-0139","Bihar","Vaishali","Rail","12.22","1","2","0","1","Commercial","3.17","5","8","1.38","12","3.26","2","6","2","65","synthetic_demo"
"SYN-0140","Bihar","Gaya","Road","11.90","6","6","1","3","Commercial","3.29","4","4","3.31","6","3.04","1","7","3","92","synthetic_demo"
"SYN-0141","Bihar","Patna","Rail","12.89","5","6","0","1","Agricultural","4.64","4","4","0.57","4","4.48","5","4","0","30","synthetic_demo"
"SYN-0142","Bihar","Saran","Water management","10.75","6","8","0","0","Agricultural","3.87","0","6","3.39","2","4.16","0","6","1","49","synthetic_demo"
"SYN-0143","Bihar","Vaishali","Road","9.40","5","6","0","0","Agricultural","4.43","6","6","0.92","14","4.34","2","5","2","76","synthetic_demo"
"SYN-0144","Bihar","Nalanda","Industrial corridor","4.91","6","8","0","1","Residential","2.26","6","5","7.88","4","2.87","2","8","3","87","synthetic_demo"
